step,train_error_hist,train_loss_hist,val_error_hist,val_loss_hist,lr_hist
0,0.5,2.638017178,0.4375,0.692890048,0.003
500,0.296875,2.469309092,0.34375,0.614957511,0.002999488
1000,0.28125,2.310755491,0.421875,0.740752399,0.002997948
1500,0.34375,2.314655066,0.3125,0.583921432,0.002995382
2000,0.171875,2.205713272,0.328125,0.494914174,0.002991791
2500,0.3125,2.281290054,0.21875,0.491899192,0.002987178
3000,0.203125,2.171226978,0.203125,0.397180617,0.002981545
3500,0.109375,2.016777515,0.1875,0.426991642,0.002974897
4000,0.25,2.103096247,0.125,0.300619602,0.002967238
4500,0.1875,2.01916337,0.1875,0.397788972,0.002958573
5000,0.09375,1.899586201,0.15625,0.306374073,0.002948909
5500,0.0625,1.872737408,0.125,0.332663327,0.002938252
6000,0.09375,1.834903836,0.078125,0.217423007,0.002926609
6500,0.140625,1.921530962,0.109375,0.231178582,0.002913988
7000,0.078125,1.822381735,0.28125,0.648428679,0.002900399
7500,0.109375,1.779000759,0.109375,0.320448935,0.002885849
8000,0.078125,1.805261254,0.09375,0.225768059,0.00287035
8500,0.078125,1.724356532,0.1875,0.396824747,0.002853912
9000,0.046875,1.727221131,0.140625,0.258456409,0.002836545
9500,0.0625,1.696995974,0.109375,0.276831925,0.002818263
10000,0.0625,1.678998709,0.140625,0.258905828,0.002799077
10500,0.078125,1.653731346,0.125,0.41509819,0.002779001
11000,0.0625,1.644273281,0.046875,0.166051805,0.002758049
11500,0.046875,1.637899876,0.125,0.314000905,0.002736234
12000,0.09375,1.692323208,0.03125,0.125356913,0.002713572
12500,0.078125,1.626179457,0.109375,0.232593089,0.002690078
13000,0.0625,1.667290568,0.09375,0.254173338,0.002665768
13500,0.109375,1.608020782,0.078125,0.166941464,0.00264066
14000,0.078125,1.627506495,0.125,0.332121968,0.00261477
14500,0.046875,1.557387352,0.078125,0.201522022,0.002588116
15000,0.0625,1.627412677,0.140625,0.433588147,0.002560716
15500,0.046875,1.483138442,0.0625,0.317727745,0.002532589
16000,0.078125,1.535769701,0.0625,0.220234305,0.002503754
16500,0.140625,1.63935864,0.09375,0.233063743,0.002474232
17000,0.015625,1.470015645,0.078125,0.333818197,0.002444042
17500,0.09375,1.555844545,0.09375,0.251847863,0.002413204
18000,0.109375,1.656846285,0.0625,0.182742357,0.002381741
18500,0.046875,1.453635573,0.046875,0.176460266,0.002349674
19000,0.046875,1.439675331,0.0625,0.227097973,0.002317024
19500,0.015625,1.392826796,0.078125,0.221300364,0.002283815
20000,0.046875,1.483192801,0.0625,0.240906164,0.002250068
20500,0.03125,1.4017272,0.078125,0.205560714,0.002215807
21000,0.0625,1.405409098,0.09375,0.253252715,0.002181056
21500,0.015625,1.373863578,0.03125,0.154973596,0.002145838
22000,0.046875,1.418437958,0.09375,0.319444954,0.002110177
22500,0.046875,1.379970551,0.0625,0.205479592,0.002074098
23000,0.046875,1.44885385,0.03125,0.073277026,0.002037625
23500,0.0625,1.390643001,0.0625,0.183682591,0.002000784
24000,0.046875,1.360936165,0.03125,0.08101882,0.0019636
24500,0.015625,1.290233374,0.046875,0.10592331,0.001926098
25000,0.078125,1.360951185,0.046875,0.209814906,0.001888304
25500,0.015625,1.295987725,0.0625,0.110513292,0.001850244
26000,0.03125,1.317849994,0.078125,0.259650052,0.001811944
26500,0.03125,1.321106553,0.109375,0.405371964,0.001773431
27000,0.03125,1.287225366,0.03125,0.193935677,0.001734729
27500,0,1.266628981,0.09375,0.211299062,0.001695867
28000,0.046875,1.354589462,0.09375,0.291072965,0.001656871
28500,0.03125,1.266497135,0.046875,0.130428106,0.001617767
29000,0,1.229070425,0.0625,0.196588844,0.001578582
29500,0.03125,1.280881763,0.0625,0.155735388,0.001539344
30000,0.0625,1.311951756,0.140625,0.556244493,0.001500079
30500,0.03125,1.273674488,0.109375,0.268785208,0.001460813
31000,0,1.205863476,0.046875,0.228885144,0.001421574
31500,0.046875,1.248650908,0.09375,0.265516162,0.00138239
32000,0.078125,1.303647161,0.078125,0.202095166,0.001343285
32500,0.046875,1.241559625,0.03125,0.125408381,0.001304289
33000,0.015625,1.236460686,0.03125,0.139468551,0.001265426
33500,0.03125,1.241010547,0.046875,0.168230236,0.001226724
34000,0.0625,1.293988585,0.078125,0.193056822,0.001188209
34500,0.015625,1.225675464,0.125,0.426440567,0.001149908
35000,0.078125,1.283937454,0.046875,0.187276304,0.001111847
35500,0.015625,1.213782668,0.078125,0.273727924,0.001074052
36000,0,1.162278771,0.015625,0.08110296,0.001036549
36500,0.015625,1.210676789,0.046875,0.183733299,0.000999364
37000,0.0625,1.264208794,0.015625,0.034004405,0.000962521
37500,0,1.169578433,0.046875,0.15903613,0.000926047
38000,0.03125,1.195012808,0.09375,0.389918208,0.000889967
38500,0.03125,1.177635789,0.0625,0.23433131,0.000854304
39000,0.015625,1.172426701,0.078125,0.305792689,0.000819084
39500,0.015625,1.152859449,0.078125,0.395939916,0.000784331
40000,0.046875,1.201853275,0.0625,0.339888513,0.000750068
40500,0,1.136277795,0.078125,0.209784985,0.000716319
41000,0.015625,1.167956948,0.015625,0.038911909,0.000683107
41500,0.015625,1.148901582,0.0625,0.260032505,0.000650455
42000,0.03125,1.217120409,0.0625,0.217454642,0.000618386
42500,0.046875,1.16631937,0.078125,0.204931796,0.00058692
43000,0,1.11696589,0.0625,0.198040932,0.00055608
43500,0.015625,1.120312572,0.03125,0.152895689,0.000525888
44000,0.0625,1.229894638,0.015625,0.077291787,0.000496362
44500,0.046875,1.185048938,0.09375,0.304886222,0.000467525
