step,train_error_hist,train_loss_hist,val_error_hist,val_loss_hist,lr_hist
0,0.03999999910593033,0.5900654792785645,0.019999999552965164,0.0959157720208168,0.0001
500,0.019999999552965164,0.560821533203125,0.05999999865889549,0.14742812514305115,0.0001
1000,0.03999999910593033,0.6050443649291992,0.019999999552965164,0.0521656796336174,0.0001
1500,0.0,0.5316053628921509,0.019999999552965164,0.15623308718204498,0.0001
2000,0.0,0.5470435619354248,0.07999999821186066,0.3333529531955719,0.0001
2500,0.019999999552965164,0.5870456695556641,0.05999999865889549,0.1568268984556198,0.0001
3000,0.019999999552965164,0.5753529071807861,0.03999999910593033,0.06780395656824112,0.0001
3500,0.019999999552965164,0.5576149821281433,0.05999999865889549,0.154951274394989,0.0001
4000,0.07999999821186066,0.6306788325309753,0.07999999821186066,0.20311279594898224,0.0001
4500,0.03999999910593033,0.5654054880142212,0.03999999910593033,0.06031736731529236,0.0001
