epoch: 0	train ppl: 627.6974821149282	val ppl: 330.69630592932384	best val: 330.69630592932384	time (s) spent in epoch: 68.49870109558105
epoch: 1	train ppl: 257.0510160626749	val ppl: 221.68735201076265	best val: 221.68735201076265	time (s) spent in epoch: 68.50085306167603
epoch: 2	train ppl: 178.78529853175752	val ppl: 175.97791843447328	best val: 175.97791843447328	time (s) spent in epoch: 68.17237854003906
epoch: 3	train ppl: 136.3067021551096	val ppl: 153.17732137973078	best val: 153.17732137973078	time (s) spent in epoch: 68.78525638580322
epoch: 4	train ppl: 108.8624930190521	val ppl: 138.9681578172117	best val: 138.9681578172117	time (s) spent in epoch: 67.74872040748596
epoch: 5	train ppl: 88.56775452305646	val ppl: 130.96989474272277	best val: 130.96989474272277	time (s) spent in epoch: 66.15347290039062
epoch: 6	train ppl: 72.2803341658385	val ppl: 130.54245489550945	best val: 130.54245489550945	time (s) spent in epoch: 67.84366488456726
epoch: 7	train ppl: 58.599814734462676	val ppl: 133.7943483194132	best val: 130.54245489550945	time (s) spent in epoch: 68.91546320915222
epoch: 8	train ppl: 47.00925340302744	val ppl: 146.46908898348124	best val: 130.54245489550945	time (s) spent in epoch: 69.14851117134094
epoch: 9	train ppl: 37.08077814986661	val ppl: 159.73259802614777	best val: 130.54245489550945	time (s) spent in epoch: 67.32673501968384
epoch: 10	train ppl: 29.171832204707492	val ppl: 178.91124717737384	best val: 130.54245489550945	time (s) spent in epoch: 68.52629685401917
epoch: 11	train ppl: 23.199705876079626	val ppl: 196.3565884374701	best val: 130.54245489550945	time (s) spent in epoch: 68.90437722206116
epoch: 12	train ppl: 18.924362293340756	val ppl: 214.15942646176435	best val: 130.54245489550945	time (s) spent in epoch: 67.60931348800659
epoch: 13	train ppl: 15.862792840647183	val ppl: 231.35556376174378	best val: 130.54245489550945	time (s) spent in epoch: 67.69396924972534
epoch: 14	train ppl: 13.70781540429936	val ppl: 252.34320626788244	best val: 130.54245489550945	time (s) spent in epoch: 68.14091682434082
epoch: 15	train ppl: 11.464599483957842	val ppl: 268.38152423418455	best val: 130.54245489550945	time (s) spent in epoch: 68.85136795043945
epoch: 16	train ppl: 9.342034801458643	val ppl: 281.7565652709481	best val: 130.54245489550945	time (s) spent in epoch: 68.62553524971008
epoch: 17	train ppl: 7.752743178129598	val ppl: 291.6230177368873	best val: 130.54245489550945	time (s) spent in epoch: 67.50726914405823
epoch: 18	train ppl: 6.760652878768272	val ppl: 297.7544502980236	best val: 130.54245489550945	time (s) spent in epoch: 67.82095456123352
epoch: 19	train ppl: 6.28194834071097	val ppl: 298.7385684410339	best val: 130.54245489550945	time (s) spent in epoch: 67.96061253547668
epoch: 20	train ppl: 6.077838397098368	val ppl: 296.89676873257827	best val: 130.54245489550945	time (s) spent in epoch: 68.85429453849792
epoch: 21	train ppl: 5.950326139948821	val ppl: 295.7627101214732	best val: 130.54245489550945	time (s) spent in epoch: 69.3155312538147
epoch: 22	train ppl: 5.878507802306456	val ppl: 295.1590547310664	best val: 130.54245489550945	time (s) spent in epoch: 69.47326755523682
epoch: 23	train ppl: 5.852474220158035	val ppl: 294.92686330266804	best val: 130.54245489550945	time (s) spent in epoch: 72.16235041618347
epoch: 24	train ppl: 5.843193681759464	val ppl: 294.8727512822826	best val: 130.54245489550945	time (s) spent in epoch: 69.28547167778015
epoch: 25	train ppl: 5.841494581039385	val ppl: 294.8623861449064	best val: 130.54245489550945	time (s) spent in epoch: 68.14876866340637
epoch: 26	train ppl: 5.837973186097732	val ppl: 294.86039576387265	best val: 130.54245489550945	time (s) spent in epoch: 66.75720167160034
epoch: 27	train ppl: 5.8361739912147685	val ppl: 294.8600310818283	best val: 130.54245489550945	time (s) spent in epoch: 68.16358184814453
epoch: 28	train ppl: 5.840393155403734	val ppl: 294.8599871442631	best val: 130.54245489550945	time (s) spent in epoch: 67.94061493873596
epoch: 29	train ppl: 5.835240109033957	val ppl: 294.8600222943148	best val: 130.54245489550945	time (s) spent in epoch: 70.1882631778717
epoch: 30	train ppl: 5.83743149877169	val ppl: 294.8600091130449	best val: 130.54245489550945	time (s) spent in epoch: 71.40291619300842
epoch: 31	train ppl: 5.841929156381547	val ppl: 294.8600091130449	best val: 130.54245489550945	time (s) spent in epoch: 70.92836403846741
epoch: 32	train ppl: 5.835200128120619	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 68.32704663276672
epoch: 33	train ppl: 5.835548529947957	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 70.91031050682068
epoch: 34	train ppl: 5.839272107096234	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 69.14700102806091
epoch: 35	train ppl: 5.841616426881119	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 66.69690775871277
epoch: 36	train ppl: 5.842875727923454	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 70.19212532043457
epoch: 37	train ppl: 5.839730192879522	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 67.82447028160095
epoch: 38	train ppl: 5.835960877715672	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 69.24822688102722
epoch: 39	train ppl: 5.840230361142165	val ppl: 294.860000325532	best val: 130.54245489550945	time (s) spent in epoch: 68.43169856071472
