epoch: 0	train ppl: 536.8624653790347	val ppl: 290.3877308274286	best val: 290.3877308274286	time (s) spent in epoch: 353.5946569442749
epoch: 1	train ppl: 299.13387012979996	val ppl: 248.54122985029775	best val: 248.54122985029775	time (s) spent in epoch: 358.86755871772766
epoch: 2	train ppl: 242.06460854291583	val ppl: 207.14630501395195	best val: 207.14630501395195	time (s) spent in epoch: 356.7143225669861
epoch: 3	train ppl: 208.31851703350662	val ppl: 174.2719738804467	best val: 174.2719738804467	time (s) spent in epoch: 358.36597871780396
epoch: 4	train ppl: 184.93892564679024	val ppl: 162.082801092522	best val: 162.082801092522	time (s) spent in epoch: 354.17011737823486
epoch: 5	train ppl: 167.59995823341643	val ppl: 151.2546616585786	best val: 151.2546616585786	time (s) spent in epoch: 357.5710265636444
epoch: 6	train ppl: 153.56087940992504	val ppl: 148.0136767894318	best val: 148.0136767894318	time (s) spent in epoch: 357.73063039779663
epoch: 7	train ppl: 143.03964402007483	val ppl: 140.83237725119366	best val: 140.83237725119366	time (s) spent in epoch: 348.73994517326355
epoch: 8	train ppl: 133.4822997991407	val ppl: 138.62763273129994	best val: 138.62763273129994	time (s) spent in epoch: 348.09377908706665
epoch: 9	train ppl: 125.14656488128067	val ppl: 130.3589478154267	best val: 130.3589478154267	time (s) spent in epoch: 347.73409509658813
epoch: 10	train ppl: 118.41340995100067	val ppl: 125.31376134805149	best val: 125.31376134805149	time (s) spent in epoch: 348.8594813346863
epoch: 11	train ppl: 112.53295603525495	val ppl: 123.8476412328471	best val: 123.8476412328471	time (s) spent in epoch: 347.5469009876251
epoch: 12	train ppl: 107.06140896400196	val ppl: 124.1177510600809	best val: 123.8476412328471	time (s) spent in epoch: 347.32853960990906
epoch: 13	train ppl: 102.26799994096925	val ppl: 121.43112150619699	best val: 121.43112150619699	time (s) spent in epoch: 348.1870274543762
epoch: 14	train ppl: 97.80651774437094	val ppl: 117.7317273580111	best val: 117.7317273580111	time (s) spent in epoch: 346.37526416778564
epoch: 15	train ppl: 93.82557865003518	val ppl: 121.10497760677117	best val: 117.7317273580111	time (s) spent in epoch: 347.7502591609955
epoch: 16	train ppl: 89.92507945148017	val ppl: 118.11352476376517	best val: 117.7317273580111	time (s) spent in epoch: 347.98431181907654
epoch: 17	train ppl: 86.53006643520894	val ppl: 115.29408954849936	best val: 115.29408954849936	time (s) spent in epoch: 346.8121061325073
epoch: 18	train ppl: 83.39136004991025	val ppl: 113.2511962098241	best val: 113.2511962098241	time (s) spent in epoch: 347.37516689300537
epoch: 19	train ppl: 80.45990756528461	val ppl: 115.34394464276637	best val: 113.2511962098241	time (s) spent in epoch: 348.59428668022156
epoch: 20	train ppl: 77.76038575284127	val ppl: 114.4221112185334	best val: 113.2511962098241	time (s) spent in epoch: 349.0461814403534
epoch: 21	train ppl: 75.46287767222985	val ppl: 115.33739874771761	best val: 113.2511962098241	time (s) spent in epoch: 347.8280260562897
epoch: 22	train ppl: 72.98570763022104	val ppl: 115.13858220690466	best val: 113.2511962098241	time (s) spent in epoch: 348.95345401763916
epoch: 23	train ppl: 70.98661195086513	val ppl: 114.73281649005023	best val: 113.2511962098241	time (s) spent in epoch: 348.7653715610504
epoch: 24	train ppl: 68.9445031799441	val ppl: 113.47510849431914	best val: 113.2511962098241	time (s) spent in epoch: 349.3127443790436
epoch: 25	train ppl: 67.10484791284817	val ppl: 115.73298188766586	best val: 113.2511962098241	time (s) spent in epoch: 348.2718708515167
epoch: 26	train ppl: 65.30421948308583	val ppl: 113.5695063611759	best val: 113.2511962098241	time (s) spent in epoch: 349.36830139160156
epoch: 27	train ppl: 63.612637794323305	val ppl: 117.61120014518013	best val: 113.2511962098241	time (s) spent in epoch: 348.4070427417755
epoch: 28	train ppl: 62.160594731205244	val ppl: 116.51547297924233	best val: 113.2511962098241	time (s) spent in epoch: 347.9063584804535
epoch: 29	train ppl: 60.72968969971899	val ppl: 115.28146763366532	best val: 113.2511962098241	time (s) spent in epoch: 348.8907480239868
epoch: 30	train ppl: 59.362169901537364	val ppl: 115.97553283602643	best val: 113.2511962098241	time (s) spent in epoch: 345.38970136642456
epoch: 31	train ppl: 58.193052701383856	val ppl: 117.93813767469568	best val: 113.2511962098241	time (s) spent in epoch: 349.4080445766449
epoch: 32	train ppl: 56.95469573990937	val ppl: 116.08623856174913	best val: 113.2511962098241	time (s) spent in epoch: 349.6563096046448
epoch: 33	train ppl: 55.789578148203795	val ppl: 116.2173766372758	best val: 113.2511962098241	time (s) spent in epoch: 349.4774672985077
epoch: 34	train ppl: 54.84760756004007	val ppl: 117.32608720557619	best val: 113.2511962098241	time (s) spent in epoch: 348.9597079753876
epoch: 35	train ppl: 53.85084576753858	val ppl: 118.83041421340533	best val: 113.2511962098241	time (s) spent in epoch: 348.8072860240936
epoch: 36	train ppl: 52.68113156091063	val ppl: 118.91897277063102	best val: 113.2511962098241	time (s) spent in epoch: 346.0465438365936
epoch: 37	train ppl: 51.79575574454104	val ppl: 116.90968325431072	best val: 113.2511962098241	time (s) spent in epoch: 347.28176403045654
epoch: 38	train ppl: 51.074960880426076	val ppl: 119.4053176620193	best val: 113.2511962098241	time (s) spent in epoch: 348.76503682136536
epoch: 39	train ppl: 50.196945734132875	val ppl: 120.98204368135332	best val: 113.2511962098241	time (s) spent in epoch: 348.86005878448486
