epoch: 0	train ppl: 452.12079351242	val ppl: 257.50801352508597	best val: 257.50801352508597	time (s) spent in epoch: 533.5167891979218
epoch: 1	train ppl: 234.56379458934637	val ppl: 188.7936819112765	best val: 188.7936819112765	time (s) spent in epoch: 532.27321600914
epoch: 2	train ppl: 179.42658206131324	val ppl: 164.21230520999063	best val: 164.21230520999063	time (s) spent in epoch: 534.855532169342
epoch: 3	train ppl: 147.6737648841581	val ppl: 148.88407608377176	best val: 148.88407608377176	time (s) spent in epoch: 533.1250631809235
epoch: 4	train ppl: 126.26400302545227	val ppl: 136.22703516890303	best val: 136.22703516890303	time (s) spent in epoch: 534.859438419342
epoch: 5	train ppl: 109.94399314739942	val ppl: 127.01806706709091	best val: 127.01806706709091	time (s) spent in epoch: 533.7936506271362
epoch: 6	train ppl: 97.28681258161161	val ppl: 124.9268033008643	best val: 124.9268033008643	time (s) spent in epoch: 534.6236174106598
epoch: 7	train ppl: 86.86675982893146	val ppl: 124.19145371801541	best val: 124.19145371801541	time (s) spent in epoch: 532.8402752876282
epoch: 8	train ppl: 77.836048969671	val ppl: 122.00678001770108	best val: 122.00678001770108	time (s) spent in epoch: 530.0840599536896
epoch: 9	train ppl: 70.29989497173439	val ppl: 119.96884559612785	best val: 119.96884559612785	time (s) spent in epoch: 532.5645928382874
epoch: 10	train ppl: 63.77567361769225	val ppl: 119.55617743478821	best val: 119.55617743478821	time (s) spent in epoch: 533.486982345581
epoch: 11	train ppl: 58.128328306594256	val ppl: 124.13379869969468	best val: 119.55617743478821	time (s) spent in epoch: 537.1834771633148
epoch: 12	train ppl: 53.062914854264356	val ppl: 126.39303981450453	best val: 119.55617743478821	time (s) spent in epoch: 534.1150469779968
epoch: 13	train ppl: 48.93859342035889	val ppl: 128.8578444298819	best val: 119.55617743478821	time (s) spent in epoch: 534.2294688224792
epoch: 14	train ppl: 45.3520709701396	val ppl: 132.0736743172144	best val: 119.55617743478821	time (s) spent in epoch: 534.2123141288757
epoch: 15	train ppl: 39.816366848125675	val ppl: 134.76489092046543	best val: 119.55617743478821	time (s) spent in epoch: 534.2781667709351
epoch: 16	train ppl: 33.68799885333137	val ppl: 139.5763123734268	best val: 119.55617743478821	time (s) spent in epoch: 534.5995817184448
epoch: 17	train ppl: 28.584511068574876	val ppl: 138.63857522365197	best val: 119.55617743478821	time (s) spent in epoch: 534.9691712856293
epoch: 18	train ppl: 25.26218278056425	val ppl: 137.10951196241686	best val: 119.55617743478821	time (s) spent in epoch: 533.973062992096
epoch: 19	train ppl: 23.670080179631483	val ppl: 134.6155010755399	best val: 119.55617743478821	time (s) spent in epoch: 534.2285571098328
epoch: 20	train ppl: 23.141530216905526	val ppl: 132.49160373660345	best val: 119.55617743478821	time (s) spent in epoch: 533.9356343746185
epoch: 21	train ppl: 23.136478050732553	val ppl: 131.79153490389984	best val: 119.55617743478821	time (s) spent in epoch: 529.4219608306885
epoch: 22	train ppl: 23.088384782901986	val ppl: 131.5036526695641	best val: 119.55617743478821	time (s) spent in epoch: 533.2688074111938
epoch: 23	train ppl: 23.074265761601218	val ppl: 131.22490891839664	best val: 119.55617743478821	time (s) spent in epoch: 535.2388432025909
epoch: 24	train ppl: 23.060180559434478	val ppl: 131.1379613875609	best val: 119.55617743478821	time (s) spent in epoch: 537.7809338569641
epoch: 25	train ppl: 23.03456160524627	val ppl: 131.11657290856724	best val: 119.55617743478821	time (s) spent in epoch: 532.9218327999115
epoch: 26	train ppl: 23.00922380026518	val ppl: 131.11193212732798	best val: 119.55617743478821	time (s) spent in epoch: 536.5858466625214
epoch: 27	train ppl: 23.021113429658566	val ppl: 131.11140920124834	best val: 119.55617743478821	time (s) spent in epoch: 534.4837889671326
epoch: 28	train ppl: 23.030254401259256	val ppl: 131.11144090721083	best val: 119.55617743478821	time (s) spent in epoch: 533.5803501605988
epoch: 29	train ppl: 23.00081695300152	val ppl: 131.1114418003366	best val: 119.55617743478821	time (s) spent in epoch: 533.9184365272522
epoch: 30	train ppl: 23.008170923796875	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 532.1949081420898
epoch: 31	train ppl: 23.04880601358436	val ppl: 131.1114418003366	best val: 119.55617743478821	time (s) spent in epoch: 534.9056282043457
epoch: 32	train ppl: 23.044109327146618	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 539.0857195854187
epoch: 33	train ppl: 23.017341580337405	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 540.2064592838287
epoch: 34	train ppl: 23.00142617342778	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 533.1411128044128
epoch: 35	train ppl: 22.988359581279774	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 535.343671798706
epoch: 36	train ppl: 23.01727896102904	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 536.828759431839
epoch: 37	train ppl: 23.03532423037474	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 534.8523309230804
epoch: 38	train ppl: 23.021629794426502	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 536.6250877380371
epoch: 39	train ppl: 23.030653610540952	val ppl: 131.1114395675221	best val: 119.55617743478821	time (s) spent in epoch: 534.6008100509644
