epoch: 0	train ppl: 547.8090558505638	val ppl: 345.4525218881619	best val: 345.4525218881619	time (s) spent in epoch: 282.1300151348114
epoch: 1	train ppl: 365.1609113418212	val ppl: 281.91501207194716	best val: 281.91501207194716	time (s) spent in epoch: 287.5551908016205
epoch: 2	train ppl: 311.29294360751135	val ppl: 250.6502728215878	best val: 250.6502728215878	time (s) spent in epoch: 279.0894799232483
epoch: 3	train ppl: 280.0774149596012	val ppl: 234.19791952263543	best val: 234.19791952263543	time (s) spent in epoch: 279.8732497692108
epoch: 4	train ppl: 258.3572919955099	val ppl: 220.709570216883	best val: 220.709570216883	time (s) spent in epoch: 280.1154899597168
epoch: 5	train ppl: 242.00717083382972	val ppl: 213.10964272509582	best val: 213.10964272509582	time (s) spent in epoch: 279.3550407886505
epoch: 6	train ppl: 229.46816231546066	val ppl: 209.34160158567087	best val: 209.34160158567087	time (s) spent in epoch: 281.1035053730011
epoch: 7	train ppl: 218.48876228201618	val ppl: 200.68171085443026	best val: 200.68171085443026	time (s) spent in epoch: 281.0685303211212
epoch: 8	train ppl: 209.93290293282436	val ppl: 198.56027209576018	best val: 198.56027209576018	time (s) spent in epoch: 281.3590364456177
epoch: 9	train ppl: 202.39566516957248	val ppl: 193.88405521903016	best val: 193.88405521903016	time (s) spent in epoch: 279.65019392967224
epoch: 10	train ppl: 195.5356017664301	val ppl: 191.19885589589057	best val: 191.19885589589057	time (s) spent in epoch: 280.12299060821533
epoch: 11	train ppl: 189.7120587749278	val ppl: 188.81996641998865	best val: 188.81996641998865	time (s) spent in epoch: 274.00299286842346
epoch: 12	train ppl: 184.39464589242758	val ppl: 189.0063642757945	best val: 188.81996641998865	time (s) spent in epoch: 279.63081431388855
epoch: 13	train ppl: 179.85493593641206	val ppl: 186.93142078653977	best val: 186.93142078653977	time (s) spent in epoch: 281.2125413417816
epoch: 14	train ppl: 175.26736217972697	val ppl: 184.5645360964302	best val: 184.5645360964302	time (s) spent in epoch: 280.03702330589294
epoch: 15	train ppl: 171.2760966765233	val ppl: 187.8588762002487	best val: 184.5645360964302	time (s) spent in epoch: 280.6505241394043
epoch: 16	train ppl: 167.44340609424836	val ppl: 187.13445131116657	best val: 184.5645360964302	time (s) spent in epoch: 281.0615408420563
epoch: 17	train ppl: 164.37774763383362	val ppl: 185.45094429097918	best val: 184.5645360964302	time (s) spent in epoch: 279.0725402832031
epoch: 18	train ppl: 161.43398681703385	val ppl: 182.18585173946954	best val: 182.18585173946954	time (s) spent in epoch: 281.19640612602234
epoch: 19	train ppl: 158.73875306013548	val ppl: 185.11893660197754	best val: 182.18585173946954	time (s) spent in epoch: 280.82545733451843
epoch: 20	train ppl: 155.85760432961533	val ppl: 178.94806013400907	best val: 178.94806013400907	time (s) spent in epoch: 277.8340094089508
epoch: 21	train ppl: 153.16785306682243	val ppl: 181.70263694430778	best val: 178.94806013400907	time (s) spent in epoch: 280.13454723358154
epoch: 22	train ppl: 151.21569703951104	val ppl: 185.16203515943533	best val: 178.94806013400907	time (s) spent in epoch: 280.9000334739685
epoch: 23	train ppl: 148.68128938412448	val ppl: 181.63793044378437	best val: 178.94806013400907	time (s) spent in epoch: 280.0597379207611
epoch: 24	train ppl: 146.69843978699987	val ppl: 183.2438637816257	best val: 178.94806013400907	time (s) spent in epoch: 279.50005435943604
epoch: 25	train ppl: 144.52799982839062	val ppl: 181.31663016075598	best val: 178.94806013400907	time (s) spent in epoch: 280.01505756378174
epoch: 26	train ppl: 142.87770839886693	val ppl: 181.18799884753167	best val: 178.94806013400907	time (s) spent in epoch: 280.9218599796295
epoch: 27	train ppl: 141.23570582534302	val ppl: 185.26790473796814	best val: 178.94806013400907	time (s) spent in epoch: 278.6808874607086
epoch: 28	train ppl: 139.32676127265472	val ppl: 187.71529878716746	best val: 178.94806013400907	time (s) spent in epoch: 280.9694983959198
epoch: 29	train ppl: 138.18974335082032	val ppl: 184.43491065632782	best val: 178.94806013400907	time (s) spent in epoch: 280.8594994544983
epoch: 30	train ppl: 136.37778491972784	val ppl: 185.30612267144298	best val: 178.94806013400907	time (s) spent in epoch: 279.7351064682007
epoch: 31	train ppl: 135.1448498482279	val ppl: 183.83916978716334	best val: 178.94806013400907	time (s) spent in epoch: 282.8633642196655
epoch: 32	train ppl: 133.4845382798476	val ppl: 182.23922347767973	best val: 178.94806013400907	time (s) spent in epoch: 281.11006593704224
epoch: 33	train ppl: 132.39816674974605	val ppl: 188.71260503369805	best val: 178.94806013400907	time (s) spent in epoch: 279.9846680164337
epoch: 34	train ppl: 131.1944673689689	val ppl: 185.52330758607604	best val: 178.94806013400907	time (s) spent in epoch: 278.15630197525024
epoch: 35	train ppl: 130.27059090916813	val ppl: 186.77025554754846	best val: 178.94806013400907	time (s) spent in epoch: 280.24355149269104
epoch: 36	train ppl: 128.77447512490704	val ppl: 188.33071646874487	best val: 178.94806013400907	time (s) spent in epoch: 280.11346769332886
epoch: 37	train ppl: 127.6674984468505	val ppl: 186.62782556372548	best val: 178.94806013400907	time (s) spent in epoch: 277.8392550945282
epoch: 38	train ppl: 126.72409902090071	val ppl: 186.34567118062958	best val: 178.94806013400907	time (s) spent in epoch: 281.531343460083
epoch: 39	train ppl: 125.5370901841608	val ppl: 188.30588521892042	best val: 178.94806013400907	time (s) spent in epoch: 280.9073371887207
