epoch: 0	train ppl: 209305.25746397433	val ppl: 18873.216853200945	best val: 18873.216853200945	time (s) spent in epoch: 30.228161096572876
epoch: 1	train ppl: 4967.585218938809	val ppl: 1392.0833442792468	best val: 1392.0833442792468	time (s) spent in epoch: 30.14073419570923
epoch: 2	train ppl: 1286.286746756959	val ppl: 1215.8463130775856	best val: 1215.8463130775856	time (s) spent in epoch: 30.23958396911621
epoch: 3	train ppl: 815.4749200072717	val ppl: 792.6934100695922	best val: 792.6934100695922	time (s) spent in epoch: 30.33121967315674
epoch: 4	train ppl: 605.7565930509016	val ppl: 489.3888680641919	best val: 489.3888680641919	time (s) spent in epoch: 30.335028886795044
epoch: 5	train ppl: 497.85299059718795	val ppl: 516.971315079794	best val: 489.3888680641919	time (s) spent in epoch: 30.35028600692749
epoch: 6	train ppl: 432.7989933621748	val ppl: 329.23883098898625	best val: 329.23883098898625	time (s) spent in epoch: 30.366472959518433
epoch: 7	train ppl: 386.66808890532	val ppl: 412.01687665521234	best val: 329.23883098898625	time (s) spent in epoch: 30.391732215881348
epoch: 8	train ppl: 335.303700048436	val ppl: 408.3604449994101	best val: 329.23883098898625	time (s) spent in epoch: 30.389808416366577
epoch: 9	train ppl: 306.3212271767346	val ppl: 283.96326123501944	best val: 283.96326123501944	time (s) spent in epoch: 30.367400407791138
epoch: 10	train ppl: 277.8360260040654	val ppl: 282.78154919014247	best val: 282.78154919014247	time (s) spent in epoch: 30.311334133148193
epoch: 11	train ppl: 248.14175858391127	val ppl: 275.0714190503574	best val: 275.0714190503574	time (s) spent in epoch: 30.277109622955322
epoch: 12	train ppl: 224.93846394024365	val ppl: 268.60473616881546	best val: 268.60473616881546	time (s) spent in epoch: 30.284691095352173
epoch: 13	train ppl: 205.53574353042913	val ppl: 256.71246504154294	best val: 256.71246504154294	time (s) spent in epoch: 30.261659383773804
epoch: 14	train ppl: 183.55378938580725	val ppl: 221.44633499725907	best val: 221.44633499725907	time (s) spent in epoch: 30.236254692077637
epoch: 15	train ppl: 168.17322274293343	val ppl: 211.17127563520995	best val: 211.17127563520995	time (s) spent in epoch: 30.247276306152344
epoch: 16	train ppl: 156.26592366040109	val ppl: 212.20202934850877	best val: 211.17127563520995	time (s) spent in epoch: 30.202525854110718
epoch: 17	train ppl: 141.80464617427583	val ppl: 235.2419226793204	best val: 211.17127563520995	time (s) spent in epoch: 30.235477685928345
epoch: 18	train ppl: 127.78921554332591	val ppl: 201.26015230327104	best val: 201.26015230327104	time (s) spent in epoch: 30.23092269897461
epoch: 19	train ppl: 117.93128322787085	val ppl: 175.88597664282412	best val: 175.88597664282412	time (s) spent in epoch: 30.22286891937256
epoch: 20	train ppl: 107.34259457915317	val ppl: 190.7674792368776	best val: 175.88597664282412	time (s) spent in epoch: 30.224629878997803
epoch: 21	train ppl: 100.45112154372333	val ppl: 184.33995163756293	best val: 175.88597664282412	time (s) spent in epoch: 30.221279859542847
epoch: 22	train ppl: 91.39471341288355	val ppl: 185.50462245015385	best val: 175.88597664282412	time (s) spent in epoch: 30.23697018623352
epoch: 23	train ppl: 83.97915103475749	val ppl: 180.6525139099282	best val: 175.88597664282412	time (s) spent in epoch: 30.235684633255005
epoch: 24	train ppl: 79.65788031537043	val ppl: 168.40603027071194	best val: 168.40603027071194	time (s) spent in epoch: 30.224827527999878
epoch: 25	train ppl: 72.71463066632246	val ppl: 179.36195488988173	best val: 168.40603027071194	time (s) spent in epoch: 30.21199369430542
epoch: 26	train ppl: 68.04441656079022	val ppl: 199.77695400554535	best val: 168.40603027071194	time (s) spent in epoch: 30.231379985809326
epoch: 27	train ppl: 62.2274005365446	val ppl: 197.4445979571778	best val: 168.40603027071194	time (s) spent in epoch: 30.217729568481445
epoch: 28	train ppl: 58.785204484699335	val ppl: 207.01935871711268	best val: 168.40603027071194	time (s) spent in epoch: 30.230984210968018
epoch: 29	train ppl: 52.68530182509394	val ppl: 198.90139873104542	best val: 168.40603027071194	time (s) spent in epoch: 30.194013357162476
epoch: 30	train ppl: 50.6393297485097	val ppl: 219.85471153954558	best val: 168.40603027071194	time (s) spent in epoch: 30.181952714920044
epoch: 31	train ppl: 47.234394722082556	val ppl: 213.78467420091434	best val: 168.40603027071194	time (s) spent in epoch: 30.189191579818726
epoch: 32	train ppl: 42.7863503070382	val ppl: 226.6164746590742	best val: 168.40603027071194	time (s) spent in epoch: 30.224043607711792
epoch: 33	train ppl: 40.43451311870768	val ppl: 237.6490712434825	best val: 168.40603027071194	time (s) spent in epoch: 30.22429394721985
epoch: 34	train ppl: 37.521322787843864	val ppl: 286.7409430566554	best val: 168.40603027071194	time (s) spent in epoch: 30.203253746032715
epoch: 35	train ppl: 34.41110538484848	val ppl: 276.99290076192585	best val: 168.40603027071194	time (s) spent in epoch: 30.206241607666016
epoch: 36	train ppl: 31.611678852475915	val ppl: 264.24715695230725	best val: 168.40603027071194	time (s) spent in epoch: 30.20339035987854
epoch: 37	train ppl: 29.761589656611022	val ppl: 296.71301283993654	best val: 168.40603027071194	time (s) spent in epoch: 30.174628496170044
epoch: 38	train ppl: 27.935614318051716	val ppl: 343.35803185741946	best val: 168.40603027071194	time (s) spent in epoch: 30.209768533706665
epoch: 39	train ppl: 25.859331543227622	val ppl: 336.85851924011826	best val: 168.40603027071194	time (s) spent in epoch: 30.198323726654053
