epoch: 0	train ppl: 318.08946697634445	val ppl: 176.0637008501228	best val: 176.0637008501228	time (s) spent in epoch: 15.195586919784546
epoch: 1	train ppl: 124.67209452736225	val ppl: 138.5654050470247	best val: 138.5654050470247	time (s) spent in epoch: 15.025386333465576
epoch: 2	train ppl: 82.0744148592277	val ppl: 131.77101306725675	best val: 131.77101306725675	time (s) spent in epoch: 15.010561466217041
epoch: 3	train ppl: 59.95644407085677	val ppl: 135.43271947762216	best val: 131.77101306725675	time (s) spent in epoch: 15.039146900177002
epoch: 4	train ppl: 45.86393353917734	val ppl: 147.32400348100256	best val: 131.77101306725675	time (s) spent in epoch: 15.028904676437378
epoch: 5	train ppl: 35.94250178657086	val ppl: 164.01743364937448	best val: 131.77101306725675	time (s) spent in epoch: 15.026769161224365
epoch: 6	train ppl: 28.716366340386166	val ppl: 187.91605596093723	best val: 131.77101306725675	time (s) spent in epoch: 15.010409593582153
epoch: 7	train ppl: 23.37062141177721	val ppl: 216.14796818786226	best val: 131.77101306725675	time (s) spent in epoch: 15.009677648544312
epoch: 8	train ppl: 19.402707002422257	val ppl: 249.47107058933312	best val: 131.77101306725675	time (s) spent in epoch: 15.022439956665039
epoch: 9	train ppl: 16.33350845801458	val ppl: 287.33808581498977	best val: 131.77101306725675	time (s) spent in epoch: 15.03336477279663
epoch: 10	train ppl: 13.980939393938659	val ppl: 333.6458234855863	best val: 131.77101306725675	time (s) spent in epoch: 15.026769638061523
epoch: 11	train ppl: 12.140507999658526	val ppl: 380.87431844205395	best val: 131.77101306725675	time (s) spent in epoch: 15.03281545639038
epoch: 12	train ppl: 10.728833078241493	val ppl: 447.81105834380844	best val: 131.77101306725675	time (s) spent in epoch: 15.00789475440979
epoch: 13	train ppl: 9.594111513038001	val ppl: 518.2576363162163	best val: 131.77101306725675	time (s) spent in epoch: 15.029457330703735
epoch: 14	train ppl: 8.701143915219665	val ppl: 580.5190723183251	best val: 131.77101306725675	time (s) spent in epoch: 15.016708612442017
epoch: 15	train ppl: 7.955733589863734	val ppl: 658.2398613193594	best val: 131.77101306725675	time (s) spent in epoch: 15.011328220367432
epoch: 16	train ppl: 7.339779671121471	val ppl: 755.0742313760516	best val: 131.77101306725675	time (s) spent in epoch: 15.034497737884521
epoch: 17	train ppl: 6.805719304127675	val ppl: 848.3040867279469	best val: 131.77101306725675	time (s) spent in epoch: 15.02628493309021
epoch: 18	train ppl: 6.352073239209112	val ppl: 956.8514420073741	best val: 131.77101306725675	time (s) spent in epoch: 15.02477216720581
epoch: 19	train ppl: 5.984332675572417	val ppl: 1056.5980321451239	best val: 131.77101306725675	time (s) spent in epoch: 15.038296699523926
epoch: 20	train ppl: 5.646282287081815	val ppl: 1182.7663674918194	best val: 131.77101306725675	time (s) spent in epoch: 15.043379306793213
epoch: 21	train ppl: 5.371860039952773	val ppl: 1309.521288340231	best val: 131.77101306725675	time (s) spent in epoch: 15.03917121887207
epoch: 22	train ppl: 5.1092677722680335	val ppl: 1433.2286369047529	best val: 131.77101306725675	time (s) spent in epoch: 15.047164916992188
epoch: 23	train ppl: 4.898901021414261	val ppl: 1579.9398369325545	best val: 131.77101306725675	time (s) spent in epoch: 15.024189710617065
epoch: 24	train ppl: 4.695889519672363	val ppl: 1761.7031798925716	best val: 131.77101306725675	time (s) spent in epoch: 15.039485692977905
epoch: 25	train ppl: 4.522705256554951	val ppl: 2007.8836251566825	best val: 131.77101306725675	time (s) spent in epoch: 15.019071340560913
epoch: 26	train ppl: 4.365227952178061	val ppl: 2129.5021716359975	best val: 131.77101306725675	time (s) spent in epoch: 15.041976690292358
epoch: 27	train ppl: 4.2124492348870906	val ppl: 2374.574118023737	best val: 131.77101306725675	time (s) spent in epoch: 15.023483276367188
epoch: 28	train ppl: 4.09524883076968	val ppl: 2575.191886001231	best val: 131.77101306725675	time (s) spent in epoch: 15.020511865615845
epoch: 29	train ppl: 3.9699649617728765	val ppl: 2772.2189974692947	best val: 131.77101306725675	time (s) spent in epoch: 15.02137303352356
epoch: 30	train ppl: 3.860935547458627	val ppl: 2969.1041363608992	best val: 131.77101306725675	time (s) spent in epoch: 15.00651741027832
epoch: 31	train ppl: 3.7667693098154618	val ppl: 3141.897339723084	best val: 131.77101306725675	time (s) spent in epoch: 15.022568702697754
epoch: 32	train ppl: 3.6737728040724726	val ppl: 3453.99445568528	best val: 131.77101306725675	time (s) spent in epoch: 15.008418798446655
epoch: 33	train ppl: 3.5900844938792247	val ppl: 3697.714021273946	best val: 131.77101306725675	time (s) spent in epoch: 15.020076036453247
epoch: 34	train ppl: 3.500038617113562	val ppl: 3991.0720647658486	best val: 131.77101306725675	time (s) spent in epoch: 15.03322696685791
epoch: 35	train ppl: 3.431457310185011	val ppl: 4138.945346548007	best val: 131.77101306725675	time (s) spent in epoch: 15.018699884414673
epoch: 36	train ppl: 3.369079993190028	val ppl: 4493.2197259462055	best val: 131.77101306725675	time (s) spent in epoch: 15.032189846038818
epoch: 37	train ppl: 3.3059159986151068	val ppl: 4684.482040457962	best val: 131.77101306725675	time (s) spent in epoch: 15.027877569198608
epoch: 38	train ppl: 3.244728610099852	val ppl: 4977.687200006475	best val: 131.77101306725675	time (s) spent in epoch: 15.024125576019287
epoch: 39	train ppl: 3.189053350659884	val ppl: 5184.580478147262	best val: 131.77101306725675	time (s) spent in epoch: 15.02125883102417
