epoch: 0	train ppl: 802.0654384923122	val ppl: 374.18080723191025	best val: 374.18080723191025	time (s) spent in epoch: 77.7834050655365
epoch: 1	train ppl: 314.82538948825055	val ppl: 260.1967133197224	best val: 260.1967133197224	time (s) spent in epoch: 85.03190755844116
epoch: 2	train ppl: 236.01949841644458	val ppl: 217.7972256158491	best val: 217.7972256158491	time (s) spent in epoch: 85.00962924957275
epoch: 3	train ppl: 197.18342430019504	val ppl: 193.91867856940672	best val: 193.91867856940672	time (s) spent in epoch: 85.03566217422485
epoch: 4	train ppl: 172.16386799961253	val ppl: 178.78693283468823	best val: 178.78693283468823	time (s) spent in epoch: 85.00628519058228
epoch: 5	train ppl: 154.0824665340869	val ppl: 168.14338093225012	best val: 168.14338093225012	time (s) spent in epoch: 85.05918169021606
epoch: 6	train ppl: 140.0197476566912	val ppl: 159.5812722949523	best val: 159.5812722949523	time (s) spent in epoch: 85.03709578514099
epoch: 7	train ppl: 128.5889562536933	val ppl: 152.46403358059558	best val: 152.46403358059558	time (s) spent in epoch: 85.00070309638977
epoch: 8	train ppl: 118.99919761281929	val ppl: 146.47160331361147	best val: 146.47160331361147	time (s) spent in epoch: 85.05687165260315
epoch: 9	train ppl: 110.5795370754012	val ppl: 142.34826557886217	best val: 142.34826557886217	time (s) spent in epoch: 84.98432874679565
epoch: 10	train ppl: 103.2210761701277	val ppl: 138.43971665246485	best val: 138.43971665246485	time (s) spent in epoch: 85.07111287117004
epoch: 11	train ppl: 96.87912803694296	val ppl: 135.45895334407777	best val: 135.45895334407777	time (s) spent in epoch: 84.96904993057251
epoch: 12	train ppl: 91.09717960899522	val ppl: 133.13243680936418	best val: 133.13243680936418	time (s) spent in epoch: 84.938401222229
epoch: 13	train ppl: 85.84768423558214	val ppl: 131.33354524072507	best val: 131.33354524072507	time (s) spent in epoch: 84.97899675369263
epoch: 14	train ppl: 81.2700205818247	val ppl: 129.83721966107822	best val: 129.83721966107822	time (s) spent in epoch: 84.96654963493347
epoch: 15	train ppl: 77.09213851172207	val ppl: 129.31773158255157	best val: 129.31773158255157	time (s) spent in epoch: 85.03555727005005
epoch: 16	train ppl: 73.16892875366523	val ppl: 128.63948368753003	best val: 128.63948368753003	time (s) spent in epoch: 84.96746921539307
epoch: 17	train ppl: 69.60423984362845	val ppl: 128.1790857627803	best val: 128.1790857627803	time (s) spent in epoch: 84.98076319694519
epoch: 18	train ppl: 66.25682054752828	val ppl: 127.87990655969251	best val: 127.87990655969251	time (s) spent in epoch: 84.9483003616333
epoch: 19	train ppl: 63.27405886903488	val ppl: 127.77981624145997	best val: 127.77981624145997	time (s) spent in epoch: 84.95887756347656
epoch: 20	train ppl: 60.40334883733922	val ppl: 128.13430368360997	best val: 127.77981624145997	time (s) spent in epoch: 84.95590305328369
epoch: 21	train ppl: 57.719314690202566	val ppl: 128.3806745331748	best val: 127.77981624145997	time (s) spent in epoch: 84.93738126754761
epoch: 22	train ppl: 55.24365297135352	val ppl: 129.1102271377892	best val: 127.77981624145997	time (s) spent in epoch: 84.93785119056702
epoch: 23	train ppl: 52.91405027612183	val ppl: 129.89906820915851	best val: 127.77981624145997	time (s) spent in epoch: 84.97952771186829
epoch: 24	train ppl: 50.70080116860619	val ppl: 130.80152893039175	best val: 127.77981624145997	time (s) spent in epoch: 84.65201568603516
epoch: 25	train ppl: 48.71513693893	val ppl: 131.76789500087142	best val: 127.77981624145997	time (s) spent in epoch: 84.54712247848511
epoch: 26	train ppl: 46.78649741618761	val ppl: 132.9474465356949	best val: 127.77981624145997	time (s) spent in epoch: 84.85508966445923
epoch: 27	train ppl: 44.88253653506647	val ppl: 134.93310085330563	best val: 127.77981624145997	time (s) spent in epoch: 84.50805592536926
epoch: 28	train ppl: 43.14126825510946	val ppl: 136.05783281592554	best val: 127.77981624145997	time (s) spent in epoch: 84.93582773208618
epoch: 29	train ppl: 41.48187891139848	val ppl: 137.9660794677456	best val: 127.77981624145997	time (s) spent in epoch: 84.95380115509033
epoch: 30	train ppl: 39.969734096504304	val ppl: 140.28419543911548	best val: 127.77981624145997	time (s) spent in epoch: 84.93967890739441
epoch: 31	train ppl: 38.45819556546565	val ppl: 142.3454996203309	best val: 127.77981624145997	time (s) spent in epoch: 84.85791993141174
epoch: 32	train ppl: 37.03922717519032	val ppl: 144.07624034461463	best val: 127.77981624145997	time (s) spent in epoch: 84.99146795272827
epoch: 33	train ppl: 35.75967289919737	val ppl: 146.89410750541484	best val: 127.77981624145997	time (s) spent in epoch: 84.88758730888367
epoch: 34	train ppl: 34.44823511295936	val ppl: 149.43081704939905	best val: 127.77981624145997	time (s) spent in epoch: 84.90126657485962
epoch: 35	train ppl: 33.23926840470992	val ppl: 152.3979358802061	best val: 127.77981624145997	time (s) spent in epoch: 84.91316938400269
epoch: 36	train ppl: 32.09964297728604	val ppl: 155.1863454284947	best val: 127.77981624145997	time (s) spent in epoch: 84.88420033454895
epoch: 37	train ppl: 31.002262598904903	val ppl: 158.31210932097054	best val: 127.77981624145997	time (s) spent in epoch: 84.93388605117798
epoch: 38	train ppl: 29.959503972212786	val ppl: 160.59904538461376	best val: 127.77981624145997	time (s) spent in epoch: 84.88915920257568
epoch: 39	train ppl: 28.975892829264996	val ppl: 163.9153090452682	best val: 127.77981624145997	time (s) spent in epoch: 84.72777724266052
