step,train_error_hist,train_loss_hist,val_error_hist,val_loss_hist,lr_hist
0,0.515625,2.7094836235046387,0.5,0.6931542754173279,0.0029999999979438323
500,0.34375,2.4475741386413574,0.453125,0.6361947059631348,0.002999488041340585
1000,0.265625,2.306570529937744,0.265625,0.5161249041557312,0.0029979484105349006
1500,0.234375,2.2701210975646973,0.265625,0.5306717157363892,0.002995382160712829
2000,0.234375,2.196044921875,0.203125,0.4432740807533264,0.0029917910506538103
2500,0.265625,2.240309476852417,0.21875,0.5243624448776245,0.0029871775415252987
3000,0.25,2.217397451400757,0.234375,0.5853030681610107,0.002981544795196002
3500,0.15625,2.0473947525024414,0.171875,0.4058844745159149,0.0029748966720688913
4000,0.1875,2.049805164337158,0.125,0.25474977493286133,0.0029672377284354775
4500,0.125,2.013671398162842,0.109375,0.22520384192466736,0.0029585732133531537
5000,0.125,2.035165548324585,0.078125,0.19519388675689697,0.0029489090650477554
5500,0.140625,1.986459493637085,0.0625,0.1601940095424652,0.002938251906843796
6000,0.15625,1.9474869966506958,0.15625,0.3123118579387665,0.0029266090426251718
6500,0.09375,1.8367784023284912,0.09375,0.2483617663383484,0.0029139884518294443
7000,0.109375,1.8114962577819824,0.125,0.28868281841278076,0.0029003987839791314
7500,0.109375,1.8324394226074219,0.140625,0.3283553123474121,0.0028858493527537596
8000,0.125,1.9080591201782227,0.109375,0.2550128996372223,0.00287035012960673
8500,0.140625,1.8117948770523071,0.046875,0.14464707672595978,0.002853911736931384
9000,0.0625,1.735341191291809,0.046875,0.20746265351772308,0.0028365454407809462
9500,0.046875,1.7658287286758423,0.09375,0.23448394238948822,0.0028182631431473318
10000,0.015625,1.6254918575286865,0.09375,0.20717157423496246,0.0027990773738041166
10500,0.09375,1.7089067697525024,0.078125,0.21319155395030975,0.002779001281719259
11000,0.09375,1.683808445930481,0.046875,0.1674850583076477,0.002758048626043451
11500,0.125,1.6769520044326782,0.109375,0.24340206384658813,0.0027362337666802837
12000,0.09375,1.7262427806854248,0.09375,0.33926108479499817,0.002713571654444688
12500,0.046875,1.5913646221160889,0.15625,0.3357548117637634,0.0026900778208163926
13000,0.03125,1.586726427078247,0.09375,0.22277508676052094,0.0026657683672954235
